id,ma_khach_hang,noi_dung_binh_luan,ngay_binh_luan,gio_binh_luan,so_sao,ma_san_pham
27,2255,quan sản_phẩm_tích giá rẻ_hợp học_viên vấn_đề đơn_giản sạch sản_phẩm mùi thơm nhạy_cảm hương_liệu cân_nhắc sữa rửa mặt bọt,12/10/2021,21:48,5,357100011
29,2647,viền sắc rát mặt xước_mặt,15/02/2022,14:41,2,422203300
30,3508,hàng chuẩn hàng đắp thích mướt mịn hẳn,1/10/2021,4:50,5,386000044
31,2484,chống nắng ưng tệp màu tán không_trôi đổ,10/3/2022,16:20,5,422204388
32,4003,đầu_tiên dầu mặt sạch hẳn sản_phẩm cũ,31/05/2022,13:52,5,422205673
33,3626,nhạy_cảm hỗn_hợp thiên_khô xài êm không_kích_ứng nâng tone chút_nhiên mỏng nhẹ không_mặt mắt,30/10/2024,17:25,5,343100024
34,3176,dưỡng tốt,10/7/2020,22:49,5,345800001
35,2405,sản_phẩm,26/04/2023,18:41,5,308500018
36,681,mùi hương_mát giá_thành,30/04/2023,15:02,5,204100019
37,319,kiểu tách thời_tiết lạnh ổn dầu mụn xài típ quây_dưỡng ổn,7/7/2024,23:26,4,422204167
39,132,tốt đường viền chắn chắn không_xơ_tưa mềm,25/05/2023,11:14,5,422212331
40,2723,dạng sữa thắm hơi rửa mặt xài,9/6/2023,13:34,3,248700035
42,575,thử cực cực cực_kì hài_sản_phẩm chống nắng tốt nâng tông không_làn khô hơi nhạy_cảm mụn sử_dụng tốt,29/05/2024,9:02,5,253900006
43,2887,sử_dụng liên_tục sản_phẩm vòng quan_sát kĩ cải_thiện_rệt chân nám mờ dần đi hẳn luôn texture lỏng nhẹ thấm cực_kì nhẹ cực_kì thích luôn packaging thủy thông_tiết cộng đánh_giá trừ hị hị đối_yêu thích_dưỡng trắng tình_trạng thâm_nám nhẹ xuyên hẳn luôn,25/01/2021,13:49,5,422202580
44,677,thích hasaki sản_phẩm tẩy,3/5/2023,18:31,5,200400004
46,2344,sử_dụng_dàng thoải_mái thư giãn độ,1/5/2023,20:04,5,308500004
47,2893,sản_phẩm bì đẹp thấm_tông trắng lọ_tông hẳn màu kèm ẩm tốt,1/2/2021,13:41,5,422202580
48,182,tẩy tốt quà tặng không_kèm chưng,28/05/2022,14:22,4,422204259
49,3810,lọ_dưỡng ẩm_xài hủ thấm,14/05/2024,8:44,5,422209048
50,1637,khô_nhiên vichy_dưỡng ẫm serum bình_tán laroch cũ nâng tông tầm nửa_tông khô bôi hơi ẩm không_khô căng,24/07/2024,11:32,5,100160022
51,706,thích hasaki sản_phẩm tẩy,28/04/2023,18:32,5,100230064
52,414,công_bố_tế sản_phẩm click không_hasaki_thể gửi khảo_sản_phẩm hãng,30/03/2023,13:04,5,422208976
54,441,truóc ổn lắm mùi cồn nồng_nặc,12/11/2022,10:11,4,249500027
55,1469,hợp dầu mắc quá,5/1/2022,1:03,4,204900056
56,380,thân dầu nổi mụn cerave item đi_sĩ khuyên dùng,22/04/2024,15:21,5,422208976
57,2019,chống nắng giá bình_dân tán nâng toner,20/11/2022,17:14,5,249500019
58,777,bàn thích dịch_vụ hàng hasaki dịch hàng tỉnh,20/09/2021,16:36,5,100230057
59,787,cực thích dịu nhẹ hợp tẩy mỏng nhẹ dày lì_tẩy,22/06/2021,8:29,5,100230057
60,2528,sản_phẩm dầu dầu mụn cân_nhắc chăm_sóc thuốc đặc_trị mụn bôi ẩm_thấm cực_kì tối_bôi lớp mỏng tóm dầu mụn,15/07/2021,8:34,3,343700002
61,201,sản_phẩm tốt không_quà tặng tưởng,18/06/2022,9:17,4,422204259
62,378,dầu rửa mặt dầu sử_dụng tiết_kiệm hợp_lý cetaphil_tích tương_đương tháng,31/05/2024,22:45,4,422208974
63,223,tẩy sạch lớp dầu,14/02/2022,20:59,5,205100136
64,1467,hợp bọt siêu_thích giá,10/2/2022,7:41,5,204900004
65,1487,cực thích srm xài,10/1/2021,12:01,5,204900004
66,324,mùi trái thơm nhẹ_tẩy chết dịu nhẹ giá,12/9/2020,17:15,5,245500009
67,142,kích_ứng alcohol_tẩy êm_tẩy chống nắng lớp sạch,30/04/2023,12:02,5,422206648
68,2553,acne đóng_gói kỹ hàng tiếc chất không_mụn giải_quyết vấn_đề liên_quan dầu nhờn thâm_lỗ chân_lông,9/11/2020,16:19,5,204100018
69,1245,tẩy xài thích,11/6/2023,13:56,5,422212331
70,2336,sử_dụng giàng thoải_mái thư,2/5/2023,16:23,5,422205163
71,3362,vichy thích lám mát_cự kỳ_thấm cảm_giác khô_thoáng nhẹ,22/06/2019,10:13,5,201600019
72,2434,mặt nhạy_cảm mask cực_hợp tiếc mask hàng chờ_đợi mãi mask hàng lại hasaki mẫu mask,27/02/2021,20:52,5,422205164
73,2523,môi thâm sử_dụng sản_phẩm thời dài,20/08/2023,14:23,5,200500293
74,1282,đi mãi hoài,11/10/2021,9:44,5,422216603
75,742,tặng tẩy hàng_không tặng rửa mặt,16/09/2022,13:35,4,200400003
76,1370,ẩm ổn vết thâm_mờ tốt thâm cũ mờ,15/04/2023,16:18,3,318900002
77,384,đánh_giá sản_phẩm siêu_nhạy_cảm không_kcn kích_ứng lập_tức rửa mặt sản_phẩm không_hề lọ mụn lớp đẹp mặt không_vân không_trôi đi mồ_hôi trôi sạch không_không đổ sản_phẩm mùi cồn mắt ưng sản_phẩm làn mụn tẩy kỹ,29/10/2023,9:58,5,422212097
78,1061,nắp hồng_dịu nhẹ_lành lắm người,15/08/2023,0:07,5,422204910
79,3533,viêm tiết bã mụn rosacea_xài sản_phẩm hầu không_hợp hỗn_hợp thiên_khô khô rửa mặt ẩm_kích_ứng đỏ hôm nổi vết kết_hợp dưỡng mỏng nhẹ cerave bioderma cicabio ẩm_kết_hợp sản_phẩm_chất dày_hợp nằm tóm_hợp dầu hỗn_hợp xài không_kết_hợp sản_phẩm sản_phẩm đi ngủ_dưỡng ẩm khác,18/12/2022,12:22,4,422202629
80,469,kcn tặng srm thời_hạn,10/5/2023,13:14,5,204900013
82,306,tẩy sạch giá chăng,3/1/2021,10:11,4,205100146
83,421,hỗn_hợp thiên_dầu ẻm không_hề khô căng sản_phẩm dạng suốt bọt mặt mụn ẩn trộm_vía không_đẩy giá hơi,14/11/2022,7:43,5,422208975
84,270,thâm_mờ hẳn đỡ mụn viêm kiên_trì tuần hẳn,27/03/2022,19:06,5,327500002
85,2382,sử_dụng nhẹ_nhàng thoải_mái thư giãn độ,29/04/2023,12:40,5,308500015
86,1490,rửa cảm_giác sạch nhẹ trình rửa bọt mịn thơm cực thích luôn,2/11/2020,11:57,5,204900056
87,2498,mùi hương_mát giá_thành ổn,3/5/2023,18:13,5,422206537
88,1972,mát dịu thích lắm giá thích_hợp_viên,20/07/2023,19:01,5,100150059
89,1348,xài chất màu tím chất sửa màu hồng_nhạt mùi dê mỏng nhẹ không_đổ dầu,22/05/2021,13:24,5,422207414
92,679,sử_dụng_dàng thoải_mái thư giãn độ,2/5/2023,10:00,5,422205164
93,138,đắp mê,2/7/2023,20:04,5,422205809
94,1394,dầu mụn_xài mát nhẹ_mặt tối_mặt chảo dầu mụn nhiều sản_phẩm cồn,5/10/2021,12:11,3,422200305
95,350,ổn,6/8/2022,14:11,5,422203301
96,715,tốt,20/04/2023,10:06,5,200400004
97,1734,mùi,20/11/2023,10:08,5,100220037
98,3854,lọ_xíu giá đắt lọ thất_vọng quá,28/03/2022,14:56,1,100210020
99,2241,lọ thử trắng kiếm mãi_hợp mặt nhạy_cảm lọ,10/10/2023,20:20,5,206400009
100,689,thành ổn,1/5/2023,9:30,5,204100019
101,140,treatment tretinoin khô nhạy_cảm xịt_khoáng ẩm_dịu sản_phẩm không_không chất dịu vòi xịt sương thấm,13/12/2023,23:42,5,204100078
103,35,sản_phẩm_hiệu cực_kì phù_hợp,17/04/2023,13:48,5,100230059
104,4319,sản_phẩm lỏng đổ rahari hiệu trắng sáng,11/4/2020,17:53,4,223600032
105,403,sản_phẩm tốt,15/04/2023,20:27,5,422208972
106,616,chống nắng ổn kháng_bụi không_mặt thấm không_tông_trừ hương_liệu hơi gắt không_hợp,27/03/2022,2:21,4,253900006
107,1162,xài bình_finish đẹp nhma hôm ẩm khô tróc đồ nhẹ,2/9/2023,17:31,4,422217292
108,2438,mặt xài tốt,8/11/2020,0:07,5,422205162
109,2466,hàng review chất,18/06/2019,16:19,5,422205160
110,236,đỉnh sự,30/11/2021,21:32,5,422204259
111,3338,sữa chống nắng xài tốt mỏng nhẹ thấm mùi cồn,4/10/2019,19:19,4,223600010
112,1453,dầu srm rửa sạch sâu khô_bênh cánh mũi nguyên mặt căng,20/08/2022,11:48,3,204900159
113,2427,đắp đốt mụn sưng hẵn sạch sợi bã,2/6/2021,12:25,5,422202253
114,341,tẩy hậu_cảm tốt nhất cảm_giác_nhiên không_nhờn rít mùi hơi mùi mát mịn rẻ hậu_cảm tốt,14/03/2020,15:54,5,422211446
116,56,ẩm tốt dịu nhẹ nhạy_cảm không_mùi thích,1/8/2022,22:43,5,318900012
117,2456,mặt_nạ đắp hiệu thiệt_miếng đắp thử đắp trắng trông luôn,10/2/2020,16:15,5,308500013
118,966,hỗn_hợp dầu chữ khô_má sản_phẩm dịu nhẹ ẩm tốt bình_nhiên vòi bơm,29/03/2023,15:47,5,357100004
119,2986,tiện_lợi thử ngứa_mẫn đỏ xài retinol không_ẩm_xài đỡ nhiều thử bé tư_vấn tốt,7/8/2023,16:06,5,422200342
120,1711,bha xài êm không_cảm_giác châm chích khô rát khô thích sản_phẩm bôi_hơi cảm_giác dầu dậy rửa mặt mướt_mọng kiên_trì mụn sạch lỗ chân lông,6/5/2024,7:14,5,100220035
121,2749,dâu thích không_khô tiếp,13/10/2022,20:51,5,331300002
122,676,hàng sản_phẩm,17/01/2023,16:16,3,226200018
123,1495,tốt,30/04/2020,20:11,5,204900159
125,2753,tốt mỏng mịn thấm chống nắng,11/6/2022,12:45,5,422211276
126,704,thích hasaki sản_phẩm tẩy,28/04/2023,18:42,5,100230057
127,2140,hôm sản_phẩm yên_tâm kiếm đơn hàng hàng hộp không_mác dấu_hiệu nhắn shop không_sản_phẩm hơi,21/02/2024,8:23,4,422209841
129,2796,sĩ thẩm_mĩ liễu bôi lazer dịu nhẹ tức,24/09/2024,15:13,5,100180113
130,253,không_đọc kỹ chữ tảy tặng hàng hasaki giá hợp_lý hàng hãng,12/8/2021,8:37,4,205100146
131,691,mùi hương_mát giá_thành ổn,30/04/2023,16:45,5,204100054
132,701,thích hasaki sản_phẩm tẩy,29/04/2023,18:34,5,100230064
133,1220,shop,25/10/2020,13:38,5,422217292
134,2195,không_tặng,23/08/2022,7:32,4,249500028
135,4038,dùg mask hơi dão không_ôm cương ngọc dùg_thích nhất,19/01/2021,0:34,5,365000013
136,2308,rât hợp dầu mụn,2/8/2024,21:59,5,422205164
137,2385,mùi hương_mát giá_thành ổn,29/04/2023,11:21,3,204100019
138,2327,mùi hương_lành tính giá_thành rẻ,3/5/2023,17:48,5,204100019
139,145,phẩm tốt_túi tiền_hiệu,19/04/2023,20:48,5,422211446
140,2891,hồi đầu_tiên bình kết_hợp_viên uống thần hãng đi trắng hẳn xưa mỹ đen_dị chân đời,8/1/2021,8:23,5,358300002
141,35,sử_dụng thích lắm,17/04/2023,13:44,5,318900011
142,3972,bọt sạch ẩm tốt rửa_tẩy kĩ_cảm tác_dụng srm dòng dược mỹ_phẩm,29/10/2022,21:52,5,331300002
143,162,hàng tốt nâng tone giá hơi,9/1/2021,6:40,3,248700035
144,1144,không_mấy srm dịu nhẹ không_kích_ứng phù_hợp nhạy_cảm dầu mụn_rửa không_khô_kích_ứng đổi srm hãng nổi mụn viêm đỏ nhiều,7/8/2023,14:20,5,422218629
145,672,sử_dụng_dàng thoải_mái thư giãn độ,4/5/2023,16:47,5,308500004
146,171,serum dạng dầu không_rửa mặt hơi dính,18/11/2022,0:24,4,422206648
147,2665,tệ bụi,10/4/2022,12:23,1,243300007
149,3317,sản_phẩm kém_bền hỏng,12/11/2021,10:02,1,308500037
150,562,xài xài không_dầu mặt_mũi không_bóng bôi tán_mặt không_vón,20/04/2021,11:08,5,204900013
151,745,ap tặng tẩy,29/08/2022,8:59,5,200400004
152,3342,mask xài thích mát đầu hơi châm chích_dịu nốt mụn xẹp hơn ưng lắm tủ_lạnh xài thích nữa,14/08/2020,13:40,5,308100018
154,205,cảm_ổn lớp bóng nhẹ,19/05/2022,23:21,5,422211446
156,256,đỉnh tẩy dịu nhẹ sạch bụi bẩn,27/12/2022,18:58,5,200400004
157,1074,tẩy sạch cực_kỳ nhạy_cảm thiên_dầu,18/12/2022,18:50,5,422201504
158,1292,sản_phẩm tốt_dịu nhẹ bọt mịn mặt ẩm không_hề khô,15/05/2019,11:49,5,204900056
159,2431,thơm nhẹ mượt,26/04/2021,19:37,5,308500004
160,2105,rửa mặt sạch,24/06/2021,5:49,5,422211501
163,1428,mụn srm,6/1/2021,17:24,5,422217029
164,695,sử_dụng_dàng thoải_mái thư,29/04/2023,11:43,5,308500009
165,3116,tẩy rẻ người,7/2/2024,11:07,5,223600035
168,792,rát sạch không_thích lắm hơi rít nhạy_cảm không_ưng,4/4/2021,1:56,3,355500010
169,1895,chân đời viêm mụn đỏ tối đắp ngủ hôm không_viêm nữa,12/4/2024,21:35,5,422205163
170,788,hàng hãng đàng_hoàng dầu hỗn_hợp xài lắm không_thiết_nhạy_cảm xài hãng,17/06/2021,9:42,5,100230064
171,3873,xài mặt cổ_tông í thâm_mụn nữa mờ,2/4/2023,9:25,5,422208242
173,157,dòng nắp xám không_sạch nắp nhạt sạch nắp hồng không_cồn nắp nhạt không_bọt trượt không_mượt_bù tẩy sạch lớp kcn cushion sương sương không_mụn ẩn_giá công_dụng độ toàn chấm,30/01/2023,11:22,5,422211446
174,2418,xài nhảy_cảm xài mừng,13/08/2021,17:20,5,343100028
176,1083,kỹ bảng thành không_ẻm mùi ẻm mùi mùi brand_pháp mùi ẻm sạch dòng oréal xài nma tốt,5/6/2022,22:38,5,422204906
177,2143,dư retinol viderm sử_dụng tầm tuần retinol zo dỡ không_hợp cầu,15/04/2023,18:34,5,310100003
178,858,hasaki hàng mới tác_dụng lắm,8/4/2024,22:06,5,214000001
179,409,sản_phẩm tốt,11/4/2023,15:37,5,100230057
180,1513,ẩm mịn trắng sài hũ đêm trắng chống nắng hơi,8/6/2023,20:18,5,422211548
181,273,hợp dầu,26/06/2021,23:08,5,422208807
182,4390,tẩy toàn nhẹ_nhàng mặt_tẩy chống nắng mùi thích,22/10/2017,2:34,5,100750038
185,1670,chất đặc_thấm không_nhờn bóng dầu mụn thích,9/12/2021,11:18,5,318900019
186,545,không_mặt_nạ tác_dụng thải độc không_đắp mặt,15/05/2021,20:22,4,365000014
187,409,sản_phẩm tốt,11/4/2023,15:37,5,200400004
188,2305,tạm ổn thích evene hơn,26/12/2016,7:44,4,100150058
190,1149,không_hàng tặng shop,11/1/2023,15:22,5,422218631
191,262,hài sản_phẩm,15/07/2021,21:58,4,357100011
192,135,phục_hồi,22/10/2024,6:08,5,422217972
193,2052,đợt sài mùi hắc sài bết không_bật,14/09/2022,9:58,1,422207413
195,441,trực_tiếp cửa_hàng tặng kèm tuýp rửa mặt nữa chất màu vàng thấm tốt finish ổn không_vón bện trắng cũ thực_thích cũ nâng tông không_dặm phấn_phủ không_mặt_mũi xám_nghét,23/10/2023,13:11,5,204900013
196,1114,không_hợp sản_phẩm lắm hơi thấm cộng chất mềm mịn mùi thơm chịu,30/10/2021,1:27,3,223600040
197,2659,thích sản_phẩm dày,30/06/2022,12:06,5,422203809
198,2596,mềm,20/11/2018,19:16,5,100230069
199,761,thực_sản_phẩm cực_hợp bóng_nhờn nổi mụn kiềm dầu tốt không_bật,13/02/2022,17:32,5,204100003
200,16,tốt tầm giá không_tẩy mascara_lì sử_dụng hàng tẩy chống nắng dầu mụn xài,14/10/2023,16:54,5,205100136
202,2214,hàng đẹp hình,15/01/2021,14:47,5,206200079
204,2638,tẩy xài giá,20/11/2023,20:36,5,422203301
205,2260,mịn lắm mùi hơi nồng,23/04/2021,2:03,5,245500001
206,2372,sử_dụng_dàng thoải_mái thư giãn độ,29/04/2023,19:36,5,422205163
208,409,sản_phẩm tốt,11/4/2023,15:37,5,100230059
209,246,giá rẻ shop tặng,22/09/2021,18:30,5,422211446
210,2288,màu đổi sản_phẩm màu hồng màu hồng đi mềm,31/05/2022,14:39,5,223600017
211,3007,srm mịn mùi không_hăng lắm nhẹ nhẹ đầu sài không_bọt bọt cồn rửa rít ngược hoàn_toàn rửa cảm_srm thiên_nhiên không_hóa chất,20/02/2022,14:03,5,253900007
212,703,sử_dụng_dàng thoải_mái thư giãn độ,28/04/2023,12:34,5,422205163
213,2319,sử_dụng_dàng thoải_mái thư giãn độ,4/5/2023,17:45,5,308500009
214,350,xài xài tẩy nhẹ dịu tẩy độ_ẩm không_căng rít hãng tẩy khác,29/09/2019,10:10,5,205100137
215,709,thích hasaki sản_phẩm tẩy,27/04/2023,19:27,5,100230056
216,189,xài tuýp cảm_xài thích chất thấm lại,16/11/2022,9:16,5,422203617
218,1734,mùi,20/11/2023,10:08,5,422206042
219,2927,mặt_nạ chất tiếc_chất chất_dư mặt đắp mặt_nạ lên ẩm tốt mụn nội_tiết trộm_vía đắp dịu dịu,29/04/2024,23:25,5,422207148
220,1478,srm sạch tốt kiềm dầu tốt hơi khô,13/08/2021,20:06,5,204900004
222,749,chuẩn_tẩy quốc_dân,21/07/2022,20:04,5,200400003
223,4298,thử mặt_nạ peptide some má lành dịu đỏ_dưỡng chất không_nhễ_nhại khác,11/3/2024,21:32,5,422205635
224,1157,mặt_nạ đắp ổn ôm khít mặt không_châm,10/8/2024,21:43,5,422212871
225,2460,thích cực mát_xẹp nốt mụn sưng đêm dầu hạn_chế tiết dầu tốt,10/11/2019,19:55,5,422205162
226,2221,nhạy_cảm,25/07/2023,16:55,5,211300005
227,581,đọc xét chê tùy_hợp không_trắng dầu nhẹ sài tệp thấm hơi mùi tiếng tệp hẳn kcn mặc thâm_chỗ rỗ mụn không_mụn,27/11/2023,15:44,5,253900006
228,1594,xài pl xài tuýp mụn nhma chậm lắm thâm_hầu không_cải_thiện,11/2/2023,18:12,4,327500002
229,1665,mùi mát má màu lắm phục_hồi ổn bôi thấm áp kiểu thấm hôm ngủ dậy rửa mặt nhờn_nhờn chứng_tỏ vẩn ổn,9/3/2022,12:23,5,318900005
230,3111,sản_phẩn sử_dụng tốt không_mùi hương_liệu thích chất đặc_thẩm_thấu sử_dụng căng mướt hơn,17/05/2021,20:15,5,204100013
231,695,thích hasaki sản_phẩm tẩy,29/04/2023,18:46,5,200400004
232,2285,nhạy_cảm nặn mụn xịt_khoáng ổn,21/07/2023,10:50,5,100150059
233,684,thích hasaki sản_phẩm tẩy,30/04/2023,18:47,5,100230057
234,3876,dưỡng natrue ẩm tốt màu tư_vấn thử phết,25/01/2024,21:30,5,248700076
235,4114,tẩy tế_bào chết tốt thơm,18/11/2023,17:04,5,422207812
236,1176,dầu mụn_ổn không_mụn không_nâng tông chống nắng_vẻ kém,22/08/2022,19:46,3,249500013
237,1051,không_bí không_đổ dầu_dưỡng ẩm_nhẹ lớp mỏng xịn,30/04/2021,17:40,5,248700035
240,2662,bịch bịch tệ_dập không_kỹ_bét tùm rụng bịch không_không buồn,21/05/2022,10:07,1,243300007
241,3463,cá_nhân kcn_mẫn cảm_thử dòng thực_ưng giá tặng mắt_kính,23/05/2024,13:39,5,343100024
242,368,sạch sâu lớp nhẹ_nhàng không_nhờn rít,26/10/2018,19:15,5,422206648
243,257,giá rẻ shop hàng bọc,8/8/2021,20:26,5,422200306
244,1188,hsd quà tặng kèm,11/6/2022,10:51,5,249500013
245,4233,sản_phẩm_chất tốt mụn gân uống thuốc cảm_ơn,26/08/2023,22:34,5,345800008
246,429,kcn lảoch không_chê uoi dầu mụn_xài lắm không_bít_tắc cảm_giác nhờn xài xài,9/8/2024,8:10,5,422216416
249,1402,mùi thơm dậy mặt nặn mụn hơi rát,5/4/2021,20:40,4,422220469
250,2349,sử_dụng_dàng thoải_mái thư giãn độ,1/5/2023,12:01,5,422205160
251,1387,sài lắm hỗn_hợp thiên_dầu không_bết rít chất thấm_dưỡng ẩm tốt mềm mịn tróc mũi mùa đông_hợp giá hơi chát_dưỡng htmg đỉnh sài hủ tuýt,28/12/2021,21:08,5,422209663
252,3666,không_mùi trà tẩy tế_bào chết tốt không_kích_ứng hơi khô mụn đầu đen cực tốt chê,5/9/2021,20:44,5,422206043
253,1219,nổi mụn review thử giá mềm không_bí không_tông mùi chịu văn_phòng xài mặt cổ_kcn khác,1/11/2020,21:03,5,249500013
254,3323,thích nâng tông thấm,24/02/2022,23:46,5,223600034
255,3146,tốt,8/8/2024,20:51,5,357100011
257,1631,ẩm phục_hồi tốt texture đặc_thấm ẩm mịn treatment khô đỏ đêm dịu hẳn ngủ dậy mặt không_đổ dầu giá serum bù chất tốt ráng đeo được,10/6/2023,11:30,5,422209094
258,2094,xài lắm đắp đọc hướng đừng đắp,10/4/2021,23:33,5,308500037
259,1824,tẩy sạch bụi mịn không_khô căng tình_trạng dầu,21/10/2024,15:54,5,204900010
260,2195,không_tặng,23/08/2022,7:32,4,249500021
261,788,đánh_giá hàng hasaki không_chê giá hời hãng sản_phẩm đánh_giá thực_tế giá hsv phù_hợp túi_tiền rủng rỉnh skincare siêu_dịu nhẹ_lành nhạy_cảm_sợ kích_ứng tập_tành skincare vô_tư hỗn_hợp nhạy_cảm_độ dậy xài không_chê sản_phẩm lành_toàn ngdung thành_hiệu không_kiên_trì xài đấy_hiệu giá bình_dân không_xài không_mùi ngửi kỹ không_nồng_nhẹ nhẹ lắm texture thề xài thích cực kiểu lỏng aply cảm_giác mát_mát thoáng mặt xét_tóm kiểu bổ rẻ lười chụp hình,26/06/2021,20:21,5,211300002
262,316,không_bàn_cãi giá rẻ,3/11/2020,10:53,5,205100137
263,3324,xài nâng hù hợp dầu,23/02/2022,13:33,5,223600010
264,799,thích lắm mùi dịu nhẹ dầu mụn hasaki nữa,19/12/2020,21:32,5,100230064
265,4154,tạm hài,12/1/2023,14:32,2,422205162
266,2795,mặt_nạ rẻ đẹp bền_dịch siêu_ẩm mịn căng bóng cực,28/12/2020,17:50,5,365000020
267,2377,sử_dụng_dàng thoải_mái thư giãn độ,29/04/2023,16:14,5,422205162
269,336,sản_phẩm sử_dụng lắm luôn,28/02/2020,20:48,5,422211489
270,2514,khô xài cực_kì thích đi nắng lớp giải_cứu thích_hợp mặt luôn,1/3/2023,2:10,5,248700062
271,1633,tẩy chết tạm ổn rửa mặt trông căng,10/12/2021,23:47,5,245500002
272,396,thời hiện ưng mặt_nạ thường,15/04/2024,21:53,5,422218099
273,1296,ẩm mờ thâm_hơi lành không_châm chích bôi vết mụn hơi rát,13/07/2023,13:02,5,422211878
274,2397,sử_dụng_dàng thoải_mái thư giãn độ,27/04/2023,16:32,5,308500009
275,809,không_kích_ứng mặt,11/8/2020,16:41,5,200400004
276,333,tầm giá hồng ẩm khô_dầu mụn xài hồng_mịn hẳn sạch_trị mụn_hiệu mụn lặn đi sạch thông_thoáng thấm dầu đậm dầu_hồng,26/06/2020,19:36,5,422211447
277,1474,sản_phẩm dịu nhẹ tốt,28/10/2021,13:41,5,204900056
279,3218,thử không_hợp_hợp dùm,16/03/2023,13:31,5,223600034
280,229,dòng nổi bọt hơi chịu,21/01/2022,23:48,4,205100146
282,847,sài mắc tiền luôn,15/01/2023,7:47,5,249500007
283,2410,lẽ không_review mặt_nạ siêu_đình không_chê,16/11/2022,13:52,5,422205163
284,220,mỏng rách dày chùi bịch sạch quá,9/3/2022,0:31,3,217300001
285,2610,tác_dụng xài tầm tuần không_kích_ứng mừng xài cảm_giác hơi rít nhẹ,4/8/2022,12:42,5,371600006
286,745,ap tặng tẩy,29/08/2022,8:59,5,422216594
287,297,tẩy mềm_mại break sản_phẩm skincare nhẹ_nhàng_nhiên không_khăn mặt thấm_rửa mặt lắm,17/03/2021,14:22,5,100230069
291,2653,lắm,19/08/2023,17:50,5,422203807
292,1502,tốt,4/9/2024,15:36,5,422211548
293,128,không_mùi không_nhờn rít_tán kiềm dầu tốt hơi mắt nhẹ chấm mắt xíu_tán dần mắt,18/01/2024,17:40,4,422208345
294,3710,nhạy_cảm_lựa mặt_nạ phù_hợp thời_mắn mặt_nạ phù_họp túi_tiền tone sử_dụng xài thích trộm_vía không_kích_ứng shop hàng,8/4/2023,15:05,5,422200002
295,2655,chất ổn,14/10/2023,11:39,2,422207562
296,2240,thơm hương_dịu bắt sức nắng đẹp,6/12/2023,10:56,5,206400011
297,4304,tuýp hỗn_hợp đổ dầu chữ mụn đầu đen_hasaki tư_vấn hãng cải_thiện_rệt hướng rửa mặt sợi bã nhờn_rửa không_cảm_giác khô căng rít,12/8/2024,15:07,5,343100041
299,1641,đắp mặt mát lắm siêu_dưỡng chất mùi nữa đắp mặt thoải_mái đêm rửa láng mịn,4/6/2024,23:28,5,422209718
300,2163,gút người,15/08/2022,14:47,5,211300002
